"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04068","Environmental Information Processing","Signal transduction","mmu04068","FoxO signaling pathway - Mus musculus (house mouse)","2/138","133/10649",0.516864933725712,0.767033075429228,0.579674119082817,"Nlk/Ccnd2",2
"mmu00600","Metabolism","Lipid metabolism","mmu00600","Sphingolipid metabolism - Mus musculus (house mouse)","1/138","56/10649",0.519222389521323,0.767033075429228,0.579674119082817,"Psap",1
"mmu04370","Environmental Information Processing","Signal transduction","mmu04370","VEGF signaling pathway - Mus musculus (house mouse)","1/138","58/10649",0.531668010699334,0.77369598571918,0.584709516872794,"Rac3",1
"mmu05213","Human Diseases","Cancer: specific types","mmu05213","Endometrial cancer - Mus musculus (house mouse)","1/138","58/10649",0.531668010699334,0.77369598571918,0.584709516872794,"Tcf7l2",1
"mmu04550","Cellular Processes","Cellular community - eukaryotes","mmu04550","Signaling pathways regulating pluripotency of stem cells - Mus musculus (house mouse)","2/138","140/10649",0.544540119126274,0.786557949849063,0.594429759670007,"Zfhx3/Id4",2
"mmu05321","Human Diseases","Immune disease","mmu05321","Inflammatory bowel disease - Mus musculus (house mouse)","1/138","62/10649",0.555607722070126,0.788846181474394,0.596159057524508,"Rora",1
"mmu00561","Metabolism","Lipid metabolism","mmu00561","Glycerolipid metabolism - Mus musculus (house mouse)","1/138","63/10649",0.561400310561136,0.788846181474394,0.596159057524508,"Dgki",1
"mmu05217","Human Diseases","Cancer: specific types","mmu05217","Basal cell carcinoma - Mus musculus (house mouse)","1/138","63/10649",0.561400310561136,0.788846181474394,0.596159057524508,"Tcf7l2",1
"mmu05162","Human Diseases","Infectious disease: viral","mmu05162","Measles - Mus musculus (house mouse)","2/138","145/10649",0.563629204187322,0.788846181474394,0.596159057524508,"Ccnd2/Adar",2
"mmu05203","Human Diseases","Cancer: overview","mmu05203","Viral carcinogenesis - Mus musculus (house mouse)","3/138","228/10649",0.57032230854577,0.788846181474394,0.596159057524508,"Rbpj/Creb5/Ccnd2",3
"mmu05224","Human Diseases","Cancer: specific types","mmu05224","Breast cancer - Mus musculus (house mouse)","2/138","147/10649",0.57110432280078,0.788846181474394,0.596159057524508,"Tcf7l2/Ncoa1",2
"mmu04664","Organismal Systems","Immune system","mmu04664","Fc epsilon RI signaling pathway - Mus musculus (house mouse)","1/138","66/10649",0.578332123576436,0.788846181474394,0.596159057524508,"Rac3",1
"mmu05418","Human Diseases","Cardiovascular disease","mmu05418","Fluid shear stress and atherosclerosis - Mus musculus (house mouse)","2/138","149/10649",0.578487199747889,0.788846181474394,0.596159057524508,"Rac3/Mef2c",2
"mmu04940","Human Diseases","Endocrine and metabolic disease","mmu04940","Type I diabetes mellitus - Mus musculus (house mouse)","1/138","67/10649",0.583830580247177,0.790603910751385,0.597487435925473,"Gad2",1
"mmu04714","Organismal Systems","Environmental adaptation","mmu04714","Thermogenesis - Mus musculus (house mouse)","3/138","238/10649",0.599607827909865,0.798006741591368,0.603082017936796,"Prdm16/Dpf1/Creb5",3
"mmu04920","Organismal Systems","Endocrine system","mmu04920","Adipocytokine signaling pathway - Mus musculus (house mouse)","1/138","72/10649",0.610273201111432,0.798006741591368,0.603082017936796,"Rxrg",1
"mmu04622","Organismal Systems","Immune system","mmu04622","RIG-I-like receptor signaling pathway - Mus musculus (house mouse)","1/138","73/10649",0.615358035965041,0.798006741591368,0.603082017936796,"Adar",1
"mmu04917","Organismal Systems","Endocrine system","mmu04917","Prolactin signaling pathway - Mus musculus (house mouse)","1/138","74/10649",0.620377002591065,0.798006741591368,0.603082017936796,"Ccnd2",1
"mmu05166","Human Diseases","Infectious disease: viral","mmu05166","Human T-cell leukemia virus 1 infection - Mus musculus (house mouse)","3/138","247/10649",0.624838055504692,0.798006741591368,0.603082017936796,"Nrp1/Creb5/Ccnd2",3
"mmu04115","Cellular Processes","Cell growth and death","mmu04115","p53 signaling pathway - Mus musculus (house mouse)","1/138","75/10649",0.625330948089167,0.798006741591368,0.603082017936796,"Ccnd2",1
"mmu05214","Human Diseases","Cancer: specific types","mmu05214","Glioma - Mus musculus (house mouse)","1/138","75/10649",0.625330948089167,0.798006741591368,0.603082017936796,"Camk1d",1
"mmu04148","Cellular Processes","Transport and catabolism","mmu04148","Efferocytosis - Mus musculus (house mouse)","2/138","163/10649",0.627573252021864,0.798006741591368,0.603082017936796,"Gulp1/Cd24a",2
"mmu05212","Human Diseases","Cancer: specific types","mmu05212","Pancreatic cancer - Mus musculus (house mouse)","1/138","76/10649",0.630220708743952,0.798006741591368,0.603082017936796,"Rac3",1
"mmu05220","Human Diseases","Cancer: specific types","mmu05220","Chronic myeloid leukemia - Mus musculus (house mouse)","1/138","76/10649",0.630220708743952,0.798006741591368,0.603082017936796,"Mecom",1
"mmu04721","Organismal Systems","Nervous system","mmu04721","Synaptic vesicle cycle - Mus musculus (house mouse)","1/138","77/10649",0.63504711016203,0.798930235365134,0.603779934958806,"Slc1a3",1
"mmu01521","Human Diseases","Drug resistance: antineoplastic","mmu01521","EGFR tyrosine kinase inhibitor resistance - Mus musculus (house mouse)","1/138","80/10649",0.64915425772254,0.807844416968655,0.610516698383869,"Nrg1",1
"mmu04530","Cellular Processes","Cellular community - eukaryotes","mmu04530","Tight junction - Mus musculus (house mouse)","2/138","170/10649",0.650418325456815,0.807844416968655,0.610516698383869,"Dlg2/Tuba1a",2
"mmu04623","Organismal Systems","Immune system","mmu04623","Cytosolic DNA-sensing pathway - Mus musculus (house mouse)","1/138","82/10649",0.658256894384653,0.808008578871755,0.610640761360571,"Adar",1
"mmu03018","Genetic Information Processing","Folding, sorting and degradation","mmu03018","RNA degradation - Mus musculus (house mouse)","1/138","83/10649",0.662719896994184,0.808008578871755,0.610640761360571,"Cnot1",1
"mmu05225","Human Diseases","Cancer: specific types","mmu05225","Hepatocellular carcinoma - Mus musculus (house mouse)","2/138","175/10649",0.666051381111124,0.808008578871755,0.610640761360571,"Tcf7l2/Dpf1",2
"mmu04662","Organismal Systems","Immune system","mmu04662","B cell receptor signaling pathway - Mus musculus (house mouse)","1/138","84/10649",0.667125031786424,0.808008578871755,0.610640761360571,"Rac3",1
"mmu04658","Organismal Systems","Immune system","mmu04658","Th1 and Th2 cell differentiation - Mus musculus (house mouse)","1/138","88/10649",0.684181649006516,0.818269248674274,0.618395113707953,"Rbpj",1
"mmu00590","Metabolism","Lipid metabolism","mmu00590","Arachidonic acid metabolism - Mus musculus (house mouse)","1/138","89/10649",0.688308429845177,0.818269248674274,0.618395113707953,"Ptgds",1
"mmu04218","Cellular Processes","Cell growth and death","mmu04218","Cellular senescence - Mus musculus (house mouse)","2/138","183/10649",0.689896281126324,0.818269248674274,0.618395113707953,"Itpr1/Ccnd2",2
"mmu04211","Organismal Systems","Aging","mmu04211","Longevity regulating pathway - Mus musculus (house mouse)","1/138","90/10649",0.692381671955155,0.818269248674274,0.618395113707953,"Creb5",1
"mmu04742","Organismal Systems","Sensory system","mmu04742","Taste transduction - Mus musculus (house mouse)","1/138","92/10649",0.700370289488671,0.82196320270913,0.621186765880044,"Plcb1",1
"mmu04610","Organismal Systems","Immune system","mmu04610","Complement and coagulation cascades - Mus musculus (house mouse)","1/138","94/10649",0.70815291310325,0.82196320270913,0.621186765880044,"Vtn",1
"mmu04640","Organismal Systems","Immune system","mmu04640","Hematopoietic cell lineage - Mus musculus (house mouse)","1/138","94/10649",0.70815291310325,0.82196320270913,0.621186765880044,"Cd24a",1
"mmu00564","Metabolism","Lipid metabolism","mmu00564","Glycerophospholipid metabolism - Mus musculus (house mouse)","1/138","101/10649",0.73384483600163,0.841763194237164,0.636150322230515,"Dgki",1
"mmu04976","Organismal Systems","Digestive system","mmu04976","Bile secretion - Mus musculus (house mouse)","1/138","101/10649",0.73384483600163,0.841763194237164,0.636150322230515,"Atp1a2",1
"mmu04931","Human Diseases","Endocrine and metabolic disease","mmu04931","Insulin resistance - Mus musculus (house mouse)","1/138","110/10649",0.763603679477768,0.867642117352649,0.655707942938574,"Creb5",1
"mmu04350","Environmental Information Processing","Signal transduction","mmu04350","TGF-beta signaling pathway - Mus musculus (house mouse)","1/138","112/10649",0.769754288728248,0.867642117352649,0.655707942938574,"Id4",1
"mmu04625","Organismal Systems","Immune system","mmu04625","C-type lectin receptor signaling pathway - Mus musculus (house mouse)","1/138","112/10649",0.769754288728248,0.867642117352649,0.655707942938574,"Itpr1",1
"mmu04621","Organismal Systems","Immune system","mmu04621","NOD-like receptor signaling pathway - Mus musculus (house mouse)","2/138","220/10649",0.782605699141689,0.872171050979629,0.659130618824012,"Itpr1/Plcb1",2
"mmu04668","Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway - Mus musculus (house mouse)","1/138","118/10649",0.787268926768871,0.872171050979629,0.659130618824012,"Creb5",1
"mmu04650","Organismal Systems","Immune system","mmu04650","Natural killer cell mediated cytotoxicity - Mus musculus (house mouse)","1/138","120/10649",0.792807985737085,0.872171050979629,0.659130618824012,"Rac3",1
"mmu04722","Organismal Systems","Nervous system","mmu04722","Neurotrophin signaling pathway - Mus musculus (house mouse)","1/138","121/10649",0.79552358056739,0.872171050979629,0.659130618824012,"Ntrk2",1
"mmu04114","Cellular Processes","Cell growth and death","mmu04114","Oocyte meiosis - Mus musculus (house mouse)","1/138","123/10649",0.800849213324866,0.872171050979629,0.659130618824012,"Itpr1",1
"mmu05169","Human Diseases","Infectious disease: viral","mmu05169","Epstein-Barr virus infection - Mus musculus (house mouse)","2/138","229/10649",0.801153119751115,0.872171050979629,0.659130618824012,"Rbpj/Ccnd2",2
"mmu05207","Human Diseases","Cancer: overview","mmu05207","Chemical carcinogenesis - receptor activation - Mus musculus (house mouse)","2/138","231/10649",0.805080970135043,0.872171050979629,0.659130618824012,"Rxrg/Creb5",2
"mmu04810","Cellular Processes","Cell motility","mmu04810","Regulation of actin cytoskeleton - Mus musculus (house mouse)","2/138","235/10649",0.812731946807715,0.875595191312179,0.661718363204886,"Tmsb4x/Rac3",2
"mmu03082","Genetic Information Processing","Chromosome","mmu03082","ATP-dependent chromatin remodeling - Mus musculus (house mouse)","1/138","136/10649",0.832262286706013,0.87724943733877,0.662968535640636,"Dpf1",1
"mmu04142","Cellular Processes","Transport and catabolism","mmu04142","Lysosome - Mus musculus (house mouse)","1/138","136/10649",0.832262286706013,0.87724943733877,0.662968535640636,"Psap",1
"mmu04380","Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation - Mus musculus (house mouse)","1/138","136/10649",0.832262286706013,0.87724943733877,0.662968535640636,"Itpr1",1
"mmu05135","Human Diseases","Infectious disease: bacterial","mmu05135","Yersinia infection - Mus musculus (house mouse)","1/138","136/10649",0.832262286706013,0.87724943733877,0.662968535640636,"Rac3",1
"mmu04936","Human Diseases","Endocrine and metabolic disease","mmu04936","Alcoholic liver disease - Mus musculus (house mouse)","1/138","141/10649",0.842988151469101,0.883777900733735,0.667902327140204,"Tcf7l2",1
"mmu05322","Human Diseases","Immune disease","mmu05322","Systemic lupus erythematosus - Mus musculus (house mouse)","1/138","150/10649",0.860607038108884,0.897424451503917,0.678215509908493,"Grin2b",1
"mmu04110","Cellular Processes","Cell growth and death","mmu04110","Cell cycle - Mus musculus (house mouse)","1/138","157/10649",0.87294099871074,0.905444121003161,0.684276258787814,"Ccnd2",1
"mmu05161","Human Diseases","Infectious disease: viral","mmu05161","Hepatitis B - Mus musculus (house mouse)","1/138","164/10649",0.884190816920863,0.912090992763581,0.689299535691775,"Creb5",1
"mmu04140","Cellular Processes","Transport and catabolism","mmu04140","Autophagy - animal - Mus musculus (house mouse)","1/138","167/10649",0.888704044231182,0.912090992763581,0.689299535691775,"Itpr1",1
"mmu04630","Environmental Information Processing","Signal transduction","mmu04630","JAK-STAT signaling pathway - Mus musculus (house mouse)","1/138","171/10649",0.894451153327313,0.912607347566672,0.689689763343234,"Ccnd2",1
"mmu05164","Human Diseases","Infectious disease: viral","mmu05164","Influenza A - Mus musculus (house mouse)","1/138","174/10649",0.898567234527185,0.912607347566672,0.689689763343234,"Adar",1
"mmu05171","Human Diseases","Infectious disease: viral","mmu05171","Coronavirus disease - COVID-19 - Mus musculus (house mouse)","2/138","334/10649",0.93390676366477,0.940383726068116,0.710681358432044,"Nrp1/Adar",2
"mmu04613","Organismal Systems","Immune system","mmu04613","Neutrophil extracellular trap formation - Mus musculus (house mouse)","1/138","209/10649",0.936281555037555,0.940383726068116,0.710681358432044,"Plcb1",1
"mmu05168","Human Diseases","Infectious disease: viral","mmu05168","Herpes simplex virus 1 infection - Mus musculus (house mouse)","1/138","214/10649",0.940383726068116,0.940383726068116,0.710681358432044,"Pou2f2",1
