"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04971","Organismal Systems","Digestive system","mmu04971","Gastric acid secretion - Mus musculus (house mouse)","4/138","75/10649",0.0161510009080994,0.0787361294269847,0.0595036875561558,"Kcnk10/Itpr1/Plcb1/Atp1a2",4
"mmu04924","Organismal Systems","Endocrine system","mmu04924","Renin secretion - Mus musculus (house mouse)","4/138","76/10649",0.0168812879001299,0.0802890522079347,0.060677286418952,"Kcnma1/Itpr1/Plcb1/Gucy1b1",4
"mmu04928","Organismal Systems","Endocrine system","mmu04928","Parathyroid hormone synthesis, secretion and action - Mus musculus (house mouse)","5/138","116/10649",0.017336661164432,0.0804916411205772,0.0608303900506387,"Itpr1/Rxrg/Plcb1/Mef2c/Creb5",5
"mmu04020","Environmental Information Processing","Signal transduction","mmu04020","Calcium signaling pathway - Mus musculus (house mouse)","8/138","255/10649",0.0178204647342951,0.0807918391540911,0.0610572603593671,"Ntrk2/Grm5/Itpr1/Plcb1/Gnal/Slc8a1/Grin2b/Camk1d",8
"mmu05165","Human Diseases","Infectious disease: viral","mmu05165","Human papillomavirus infection - Mus musculus (house mouse)","10/138","359/10649",0.0182299534501539,0.0807918391540911,0.0610572603593671,"Col1a1/Tcf7l2/Rbpj/Reln/Dlg2/Col1a2/Creb5/Ccnd2/Tnr/Vtn",10
"mmu04919","Organismal Systems","Endocrine system","mmu04919","Thyroid hormone signaling pathway - Mus musculus (house mouse)","5/138","120/10649",0.0197798924114373,0.0857128671162285,0.0647762558503211,"Ncoa1/Rcan2/Rxrg/Plcb1/Atp1a2",5
"mmu05206","Human Diseases","Cancer: overview","mmu05206","MicroRNAs in cancer - Mus musculus (house mouse)","9/138","314/10649",0.0208786606905695,0.0881714459096985,0.066634291105845,"Zeb2/Hmga2/Zfpm2/Foxp1/Sox4/Stmn1/Igf2bp1/Ccnd2/Tnr",9
"mmu04151","Environmental Information Processing","Signal transduction","mmu04151","PI3K-Akt signaling pathway - Mus musculus (house mouse)","10/138","368/10649",0.0212515792705427,0.0881714459096985,0.066634291105845,"Col1a1/Ntrk2/Reln/Gng7/Gnb2/Col1a2/Creb5/Ccnd2/Tnr/Vtn",10
"mmu04911","Organismal Systems","Endocrine system","mmu04911","Insulin secretion - Mus musculus (house mouse)","4/138","86/10649",0.0253282879164879,0.102896169660732,0.0777622874629016,"Kcnma1/Plcb1/Creb5/Atp1a2",4
"mmu05202","Human Diseases","Cancer: overview","mmu05202","Transcriptional misregulation in cancer - Mus musculus (house mouse)","7/138","226/10649",0.0276040674422302,0.109852921453773,0.0830197517059555,"Bcl11b/Hmga2/Rxrg/Mef2c/Runx1t1/Ccnd2/Gria3",7
"mmu04727","Organismal Systems","Nervous system","mmu04727","GABAergic synapse - Mus musculus (house mouse)","4/138","91/10649",0.0303555056132707,0.118386471891756,0.0894688586496399,"Gad2/Gabrg3/Gng7/Gnb2",4
"mmu04726","Organismal Systems","Nervous system","mmu04726","Serotonergic synapse - Mus musculus (house mouse)","5/138","137/10649",0.0326450029077063,0.124819128764759,0.0943302457601419,"Kcnd2/Itpr1/Plcb1/Gng7/Gnb2",5
"mmu04070","Environmental Information Processing","Signal transduction","mmu04070","Phosphatidylinositol signaling system - Mus musculus (house mouse)","4/138","96/10649",0.0359323366227698,0.134746262335387,0.101832532939024,"Dgki/Itpr1/Plcb1/Inpp4b",4
"mmu04933","Human Diseases","Endocrine and metabolic disease","mmu04933","AGE-RAGE signaling pathway in diabetic complications - Mus musculus (house mouse)","4/138","101/10649",0.0420640591188913,0.154763991097808,0.116960641045577,"Col1a1/Plcb1/Col1a2/Col3a1",4
"mmu04961","Organismal Systems","Excretory system","mmu04961","Endocrine and other factor-regulated calcium reabsorption - Mus musculus (house mouse)","3/138","61/10649",0.044453681269001,0.160527182360281,0.121316089233141,"Plcb1/Slc8a1/Atp1a2",3
"mmu05022","Human Diseases","Neurodegenerative disease","mmu05022","Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse)","11/138","481/10649",0.0477550471045371,0.169313348825177,0.127956107074358,"Grm5/Atxn1/Gria1/Tubb2b/Itpr1/Plcb1/Tuba1a/Gria2/Grin2b/Nefm/Gria3",11
"mmu04261","Organismal Systems","Circulatory system","mmu04261","Adrenergic signaling in cardiomyocytes - Mus musculus (house mouse)","5/138","156/10649",0.0520962542562888,0.181406599642434,0.137095405937602,"Plcb1/Slc8a1/Creb5/Atp1a2/Cacnb4",5
"mmu05034","Human Diseases","Substance dependence","mmu05034","Alcoholism - Mus musculus (house mouse)","6/138","208/10649",0.0533598777000594,0.182546950026519,0.13795720919683,"Ntrk2/Gng7/Drd2/Grin2b/Gnb2/Creb5",6
"mmu04972","Organismal Systems","Digestive system","mmu04972","Pancreatic secretion - Mus musculus (house mouse)","4/138","115/10649",0.0621834343378833,0.209064994756677,0.15799783679317,"Kcnma1/Itpr1/Plcb1/Atp1a2",4
"mmu00512","Metabolism","Glycan biosynthesis and metabolism","mmu00512","Mucin type O-glycan biosynthesis - Mus musculus (house mouse)","2/138","32/10649",0.0642303312301025,0.212286687963898,0.160432584696063,"Galntl6/Galnt17",2
"mmu04927","Organismal Systems","Endocrine system","mmu04927","Cortisol synthesis and secretion - Mus musculus (house mouse)","3/138","72/10649",0.0665868825757979,0.216407368371343,0.163546729133539,"Itpr1/Plcb1/Creb5",3
"mmu04080","Environmental Information Processing","Signaling molecules and interaction","mmu04080","Neuroactive ligand-receptor interaction - Mus musculus (house mouse)","9/138","392/10649",0.0684086700254763,0.218683453360129,0.165266847343687,"Grm5/Gria1/Grik2/Gabrg3/Grm7/Drd2/Gria2/Grin2b/Gria3",9
"mmu04310","Environmental Information Processing","Signal transduction","mmu04310","Wnt signaling pathway - Mus musculus (house mouse)","5/138","175/10649",0.0771003599539522,0.241506182557417,0.182514793835565,"Tcf7l2/Nlk/Rac3/Plcb1/Ccnd2",5
"mmu05144","Human Diseases","Infectious disease: parasitic","mmu05144","Malaria - Mus musculus (house mouse)","3/138","77/10649",0.078025074364704,0.241506182557417,0.182514793835565,"Hba-a2/Hba-a1/Hbb-bs",3
"mmu05216","Human Diseases","Cancer: specific types","mmu05216","Thyroid cancer - Mus musculus (house mouse)","2/138","37/10649",0.0827523543282421,0.252136079593863,0.190548184308452,"Tcf7l2/Rxrg",2
"mmu04010","Environmental Information Processing","Signal transduction","mmu04010","MAPK signaling pathway - Mus musculus (house mouse)","7/138","299/10649",0.0937135014963527,0.281140504489058,0.212467857643553,"Mecom/Ntrk2/Nlk/Rac3/Mef2c/Stmn1/Cacnb4",7
