"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019228","BP","GO:0019228","neuronal action potential","6/269","60/28891",2.0241155834298e-05,0.000323135207580539,0.00022072632852234,"Cntnap2/Kcnd2/Kcnma1/Gria1/Grik2/Kcnq3",6
"GO:0007614","BP","GO:0007614","short-term memory","4/269","18/28891",2.02925818157635e-05,0.000323135207580539,0.00022072632852234,"Mdk/Cux2/Grm7/Rcan2",4
"GO:0021781","BP","GO:0021781","glial cell fate commitment","4/269","18/28891",2.02925818157635e-05,0.000323135207580539,0.00022072632852234,"Nfia/Nfix/Nfib/Nrg1",4
"GO:0055012","BP","GO:0055012","ventricular cardiac muscle cell differentiation","4/269","18/28891",2.02925818157635e-05,0.000323135207580539,0.00022072632852234,"Rarb/Mef2c/Nrg1/Lmna",4
"GO:0002062","BP","GO:0002062","chondrocyte differentiation","8/269","123/28891",2.08185040900148e-05,0.000329938756763079,0.000225373678599811,"Sox5/Hmga2/Mdk/Rarb/Mef2c/Nfib/Col11a1/Col3a1",8
"GO:0030323","BP","GO:0030323","respiratory tube development","11/269","246/28891",2.1591354613781e-05,0.000340573065228696,0.000232637733425545,"Sparc/Sox11/Atxn1/Hmga2/Zfpm2/Meg3/Rbpj/Foxp1/Gpc3/Nfib/Col3a1",11
"GO:0048663","BP","GO:0048663","neuron fate commitment","7/269","90/28891",2.16983313237675e-05,0.000340653614773139,0.000232692754991725,"Bcl11b/Nfia/Lmo4/Nfix/Rbpj/Nfib/Nrg1",7
"GO:0048169","BP","GO:0048169","regulation of long-term neuronal synaptic plasticity","5/269","37/28891",2.30312187042157e-05,0.00035821579231115,0.000244689079990933,"Grm5/Grik2/Neto1/Drd2/Grin2b",5
"GO:0051491","BP","GO:0051491","positive regulation of filopodium assembly","5/269","37/28891",2.30312187042157e-05,0.00035821579231115,0.000244689079990933,"Nlgn1/Nrp1/Gpm6a/Ripor2/Tenm1",5
"GO:0071277","BP","GO:0071277","cellular response to calcium ion","7/269","91/28891",2.33215747221358e-05,0.000361052527179733,0.000246626789215569,"Nlgn1/Adgrv1/Nrxn1/Kcnq3/Mef2c/Tuba1a/Neurod2",7
"GO:0030166","BP","GO:0030166","proteoglycan biosynthetic process","6/269","62/28891",2.44710834768446e-05,0.000377102779477274,0.000257590352387838,"Tcf7l2/Hs3st4/Ndst4/Extl3/Hs3st5/Chsy3",6
"GO:0050806","BP","GO:0050806","positive regulation of synaptic transmission","13/269","348/28891",2.62122280191702e-05,0.000401891909946136,0.00027452324495817,"Nlgn1/Ntrk2/Clstn2/Gria1/Nrxn1/Dbi/Grik2/Reln/Drd2/Gria2/Grin2b/Tnr/Slc1a3",13
"GO:0098698","BP","GO:0098698","postsynaptic specialization assembly","5/269","38/28891",2.63200742458744e-05,0.000401891909946136,0.00027452324495817,"Nlgn1/Nrxn3/Nrxn1/Reln/Ptprd",5
"GO:0048762","BP","GO:0048762","mesenchymal cell differentiation","11/269","254/28891",2.8972313682137e-05,0.000440379167968482,0.000300813017656638,"Col1a1/Tcf7l2/Zeb2/Cdh2/Epha3/Nrp1/Hmga2/Mdk/Rbpj/Mef2c/Sema3c",11
"GO:0048640","BP","GO:0048640","negative regulation of developmental growth","8/269","129/28891",2.93695137675253e-05,0.000442394838011732,0.000302189876128639,"Tcf7l2/Nrp1/H19/Mt3/Foxp1/Fgf13/Sema3c/Tnr",8
"GO:0061387","BP","GO:0061387","regulation of extent of cell growth","8/269","129/28891",2.93695137675253e-05,0.000442394838011732,0.000302189876128639,"Nrp1/Mt3/Plxna4/Islr2/Fgf13/Sema3c/Shtn1/Tnr",8
"GO:0072001","BP","GO:0072001","renal system development","13/269","352/28891",2.95050800673005e-05,0.000442443891233421,0.000302223383271381,"Mecom/Nfia/Nrp1/Kirrel3/Rarb/Robo2/Gpc3/Sox4/Mef2c/Schip1/Cd24a/Pou3f3/Psap",13
"GO:0043524","BP","GO:0043524","negative regulation of neuron apoptotic process","10/269","210/28891",2.99926147949232e-05,0.000447746892295638,0.000305845742974545,"Ntrk2/Nfix/Nrp1/Mdk/Mt3/Grik2/Grm7/Mef2c/Ptprz1/Vstm2l",10
"GO:0097091","BP","GO:0097091","synaptic vesicle clustering","4/269","20/28891",3.16619725855729e-05,0.00046885963481068,0.000320267378349023,"Nlgn1/Cdh2/Pcdh17/Nrxn1",4
"GO:0010959","BP","GO:0010959","regulation of metal ion transport","15/269","461/28891",3.1687283931583e-05,0.00046885963481068,0.000320267378349023,"Kcnip4/Dpp10/Dbi/Itpr1/Plcb1/Fgf13/Neto1/Drd2/Slc8a1/Fgf14/Hecw1/Gnb2/Ahnak/Atp1a2/Cacnb4",15
"GO:0003170","BP","GO:0003170","heart valve development","6/269","65/28891",3.21223013991907e-05,0.000473202536911426,0.00032323391623577,"Slit3/Zfpm2/Rbpj/Robo2/Sox4/Mef2c",6
"GO:0045165","BP","GO:0045165","cell fate commitment","12/269","307/28891",3.4545435801561e-05,0.000506666391756227,0.000346092316202157,"Sox5/Tcf7l2/Bcl11b/Nfia/Lmo4/Nfix/Rbpj/Fgf13/Mef2c/Nfib/Nrg1/Cdon",12
"GO:0060038","BP","GO:0060038","cardiac muscle cell proliferation","6/269","66/28891",3.50610703325848e-05,0.000510643484572471,0.00034880897806669,"Zfpm2/Rbpj/Foxp1/Mef2c/Nrg1/Ccnd2",6
"GO:0040013","BP","GO:0040013","negative regulation of locomotion","13/269","358/28891",3.51220100034893e-05,0.000510643484572471,0.00034880897806669,"Ptprk/Zeb2/Nrg3/Nrp1/Robo2/Plcb1/Ripor2/Drd2/Mef2c/Nrg1/Sema3c/Mctp1/Col3a1",13
"GO:1902414","BP","GO:1902414","protein localization to cell junction","8/269","133/28891",3.65651444575989e-05,0.000529323995957622,0.000361569211542445,"Nlgn1/Nrxn3/Nrxn1/Reln/Dlg2/Dlgap1/Lrrc7/Neto1",8
"GO:0043523","BP","GO:0043523","regulation of neuron apoptotic process","12/269","310/28891",3.79608547715193e-05,0.000547159906706726,0.000373752517487282,"Ntrk2/Nfix/Nrp1/Kcnma1/Mdk/Mt3/Grik2/Grm7/Mef2c/Ptprz1/Trim2/Vstm2l",12
"GO:0035641","BP","GO:0035641","locomotory exploration behavior","4/269","21/28891",3.88261098164582e-05,0.000557229661915177,0.000380630938792475,"Lsamp/Tuba1a/Atp1a2/Tnr",4
"GO:0036293","BP","GO:0036293","response to decreased oxygen levels","11/269","264/28891",4.11833610301237e-05,0.000588534868738178,0.000402014815273812,"Zeb2/Kcnd2/Kcnma1/Mt3/Rbpj/Itpr1/Drd2/Slc8a1/Grin2b/Cd24a/Rora",11
"GO:0099601","BP","GO:0099601","regulation of neurotransmitter receptor activity","6/269","68/28891",4.15853692001232e-05,0.00059175095576686,0.000404211651351702,"Nlgn1/Nrxn1/Reln/Dlgap1/Neto1/Mef2c",6
"GO:0010737","BP","GO:0010737","protein kinase A signaling","5/269","42/28891",4.32715587625654e-05,0.000613135985178046,0.000418819279726882,"Adgrv1/Nrxn1/Pde10a/Ttn/Grin2b",5
"GO:0048705","BP","GO:0048705","skeletal system morphogenesis","11/269","266/28891",4.40959179089659e-05,0.000622180377584735,0.00042499729896716,"Col1a1/Sox5/Dscaml1/Sox11/Nfix/Satb2/Rarb/Mef2c/Schip1/Col11a1/Col3a1",11
"GO:0007162","BP","GO:0007162","negative regulation of cell adhesion","12/269","315/28891",4.43058577366642e-05,0.000622515917106743,0.000425226498401421,"Col1a1/Dscaml1/Mdk/Spock1/Plxna4/Epha5/Ripor2/Plxna2/Ptprz1/Dab1/Cd24a/Tnr",12
"GO:0009791","BP","GO:0009791","post-embryonic development","8/269","137/28891",4.51776264837239e-05,0.000626862999840551,0.000428195891983756,"Tcf7l2/Mecom/Bcl11b/Meg3/Itpr1/Slc8a1/Sema3c/Schip1",8
"GO:0030282","BP","GO:0030282","bone mineralization","8/269","137/28891",4.51776264837239e-05,0.000626862999840551,0.000428195891983756,"Tcf7l2/Adgrv1/Nfix/Gpc3/Mef2c/Gpm6b/Slc8a1/Col1a2",8
"GO:2000177","BP","GO:2000177","regulation of neural precursor cell proliferation","8/269","137/28891",4.51776264837239e-05,0.000626862999840551,0.000428195891983756,"Cdh2/Tafa1/Mdk/Id4/Drd2/Cdon/Ptprz1/Cd24a",8
"GO:0071695","BP","GO:0071695","anatomical structure maturation","12/269","317/28891",4.70900012337293e-05,0.000642969984618502,0.000439198207826162,"Adgrb3/Cntnap2/Nfix/Kcnma1/Nrxn1/Rbpj/Rac3/Dlg2/Plcb1/Kcnq3/Cntn2/Pou2f2",12
"GO:0045475","BP","GO:0045475","locomotor rhythm","4/269","22/28891",4.71075497103867e-05,0.000642969984618502,0.000439198207826162,"Cntnap2/Kcnd2/Kcnma1/Zfhx3",4
"GO:0071625","BP","GO:0071625","vocalization behavior","4/269","22/28891",4.71075497103867e-05,0.000642969984618502,0.000439198207826162,"Cntnap2/Nrxn3/Nrxn1/Foxp1",4
"GO:0072578","BP","GO:0072578","neurotransmitter-gated ion channel clustering","4/269","22/28891",4.71075497103867e-05,0.000642969984618502,0.000439198207826162,"Nlgn1/Lrrtm4/Nrxn1/Reln",4
"GO:0007266","BP","GO:0007266","Rho protein signal transduction","8/269","138/28891",4.75765499372143e-05,0.00064411329145767,0.000439979174786938,"Cdh2/Nfix/Nrp1/Ripor2/Stmn1/Shtn1/Col1a2/Col3a1",8
"GO:0008277","BP","GO:0008277","regulation of G protein-coupled receptor signaling pathway","8/269","138/28891",4.75765499372143e-05,0.00064411329145767,0.000439979174786938,"Grm5/Kctd16/Kctd8/Pde10a/Plcb1/Drd2/Rgs6/Stmn1",8
"GO:0045860","BP","GO:0045860","positive regulation of protein kinase activity","13/269","369/28891",4.78760267980752e-05,0.000644690630945726,0.000440373542291685,"Zeb2/Grm5/Hmga2/Mt3/Nrxn1/Reln/Drd2/Mef2c/Nrg1/Dab1/Cd24a/Tenm1/Ccnd2",13
"GO:0035265","BP","GO:0035265","organ growth","10/269","222/28891",4.8004774852119e-05,0.000644690630945726,0.000440373542291685,"Tcf7l2/Zfpm2/Rbpj/Foxp1/Rarb/Mef2c/Ttn/Nrg1/Psap/Ccnd2",10
"GO:0007616","BP","GO:0007616","long-term memory","5/269","43/28891",4.85949687104782e-05,0.000650006301471356,0.000444004556217843,"Ntrk2/Gria1/Reln/Drd2/Ccnd2",5
"GO:0050771","BP","GO:0050771","negative regulation of axonogenesis","6/269","71/28891",5.31613276002194e-05,0.000705442378948943,0.000481871682925965,"Nrp1/Mt3/Fgf13/Sema3c/Dab1/Tnr",6
"GO:1902305","BP","GO:1902305","regulation of sodium ion transmembrane transport","6/269","71/28891",5.31613276002194e-05,0.000705442378948943,0.000481871682925965,"Plcb1/Fgf13/Neto1/Fgf14/Hecw1/Atp1a2",6
"GO:0090287","BP","GO:0090287","regulation of cellular response to growth factor stimulus","12/269","323/28891",5.63710443649504e-05,0.0007450781516063,0.000508945979912387,"Tcf7l2/Zeb2/Sox11/Tcf4/Tmem108/Prdm16/Nrp1/Mt3/Nrxn1/Rbpj/Gpc3/Cadm4",12
"GO:0090128","BP","GO:0090128","regulation of synapse maturation","4/269","23/28891",5.66085638157929e-05,0.000745271800787446,0.000509078257274225,"Adgrb3/Nrxn1/Reln/Neurod2",4
"GO:0045927","BP","GO:0045927","positive regulation of growth","12/269","324/28891",5.80623842429063e-05,0.000758439894172964,0.000518073083088432,"Nrp1/Hmga2/Zfpm2/Extl3/Rbpj/Plcb1/Islr2/Drd2/Mef2c/Nrg1/Shtn1/Ccnd2",12
"GO:0070482","BP","GO:0070482","response to oxygen levels","12/269","324/28891",5.80623842429063e-05,0.000758439894172964,0.000518073083088432,"Zeb2/Kcnd2/Kcnma1/Mt3/Rbpj/Itpr1/Drd2/Gucy1b1/Slc8a1/Grin2b/Cd24a/Rora",12
"GO:0007623","BP","GO:0007623","circadian rhythm","10/269","228/28891",6.00307169676513e-05,0.000778072548603977,0.000531483703875167,"Nlgn1/Ntrk2/Cntnap2/Kcnd2/Kcnma1/Zfhx3/Ptgds/Id4/Drd2/Rora",10
"GO:0010810","BP","GO:0010810","regulation of cell-substrate adhesion","10/269","228/28891",6.00307169676513e-05,0.000778072548603977,0.000531483703875167,"Col1a1/Epha3/Nrp1/Mdk/Spock1/Rac3/Carmil1/Gpm6b/Ptprz1/Vtn",10
"GO:0031214","BP","GO:0031214","biomineral tissue development","9/269","184/28891",6.09335679967624e-05,0.000784410527558052,0.000535813033493129,"Col1a1/Tcf7l2/Adgrv1/Nfix/Gpc3/Mef2c/Gpm6b/Slc8a1/Col1a2",9
"GO:0014013","BP","GO:0014013","regulation of gliogenesis","8/269","143/28891",6.12234293339269e-05,0.000784410527558052,0.000535813033493129,"Sox11/Atxn1/Hmga2/Mdk/Id4/Nrg1/Ptprz1/Dab1",8
"GO:0048675","BP","GO:0048675","axon extension","8/269","143/28891",6.12234293339269e-05,0.000784410527558052,0.000535813033493129,"Slit3/Nrp1/Mt3/Plxna4/Islr2/Sema3c/Shtn1/Tnr",8
"GO:0060541","BP","GO:0060541","respiratory system development","11/269","276/28891",6.14703382423778e-05,0.000784567981230959,0.000535920586524547,"Sparc/Sox11/Atxn1/Hmga2/Zfpm2/Meg3/Rbpj/Foxp1/Gpc3/Nfib/Col3a1",11
"GO:0043010","BP","GO:0043010","camera-type eye development","13/269","380/28891",6.44884849502898e-05,0.000819960051991517,0.000560096107032735,"Ntrk2/Zeb2/Bcl11b/Nfia/Sox11/Nfix/Nrp1/Gpm6a/Ephb1/Celf4/Drd2/Nfib/Cdon",13
"GO:0010738","BP","GO:0010738","regulation of protein kinase A signaling","4/269","24/28891",6.74344309498333e-05,0.000845698299737117,0.000577677320079811,"Adgrv1/Nrxn1/Pde10a/Grin2b",4
"GO:0048485","BP","GO:0048485","sympathetic nervous system development","4/269","24/28891",6.74344309498333e-05,0.000845698299737117,0.000577677320079811,"Sox11/Nrp1/Plxna4/Sox4",4
"GO:2001224","BP","GO:2001224","positive regulation of neuron migration","4/269","24/28891",6.74344309498333e-05,0.000845698299737117,0.000577677320079811,"Mdk/Reln/Ptprz1/Shtn1",4
"GO:0050773","BP","GO:0050773","regulation of dendrite development","8/269","145/28891",6.75243558701586e-05,0.000845698299737117,0.000577677320079811,"Adgrb3/Ntrk2/Reln/Cux2/Ptprd/Ptprz1/Hecw1/Camk1d",8
"GO:0071248","BP","GO:0071248","cellular response to metal ion","9/269","187/28891",6.90230029414706e-05,0.000861242245657753,0.000588295036853854,"Nlgn1/Adgrv1/Mt3/Nrxn1/Dlg2/Kcnq3/Mef2c/Tuba1a/Neurod2",9
"GO:0097061","BP","GO:0097061","dendritic spine organization","7/269","108/28891",7.02553295708913e-05,0.000873359933401712,0.00059657235440749,"Nlgn1/Cntnap2/Reln/Cux2/Epha5/Ephb1/Grin2b",7
"GO:0001666","BP","GO:0001666","response to hypoxia","10/269","233/28891",7.19261732198982e-05,0.000890818974990146,0.000608498229579645,"Kcnd2/Kcnma1/Mt3/Rbpj/Itpr1/Drd2/Slc8a1/Grin2b/Cd24a/Rora",10
"GO:0021536","BP","GO:0021536","diencephalon development","6/269","76/28891",7.8060754651509e-05,0.000963229385810502,0.000657960138255096,"Tcf7l2/Zeb2/Nrp1/Hmga2/Rbpj/Drd2",6
"GO:0001941","BP","GO:0001941","postsynaptic membrane organization","5/269","48/28891",8.32256063990296e-05,0.00101943746446284,0.00069635460144937,"Nlgn1/Cdh2/Lrrtm4/Nrxn1/Reln",5
"GO:0055023","BP","GO:0055023","positive regulation of cardiac muscle tissue growth","5/269","48/28891",8.32256063990296e-05,0.00101943746446284,0.00069635460144937,"Zfpm2/Rbpj/Mef2c/Nrg1/Ccnd2",5
"GO:0046847","BP","GO:0046847","filopodium assembly","6/269","77/28891",8.40033563487231e-05,0.00102520884536544,0.000700296900794195,"Nlgn1/Nrp1/Gpm6a/Nrxn1/Ripor2/Tenm1",6
"GO:0007163","BP","GO:0007163","establishment or maintenance of cell polarity","10/269","239/28891",8.8791448265569e-05,0.00107970401090932,0.000737521311909224,"Frmd4a/Rac3/Dlg2/Ephb1/Fgf13/Lrrc7/Ripor2/Frmd4b/Shtn1/Lmna",10
"GO:0003357","BP","GO:0003357","noradrenergic neuron differentiation","3/269","10/28891",9.12635273677119e-05,0.00108994726970582,0.000744518249578703,"Sox11/Sox4/Rnf220",3
"GO:0007158","BP","GO:0007158","neuron cell-cell adhesion","3/269","10/28891",9.12635273677119e-05,0.00108994726970582,0.000744518249578703,"Nlgn1/Nrxn1/Tnr",3
"GO:0090129","BP","GO:0090129","positive regulation of synapse maturation","3/269","10/28891",9.12635273677119e-05,0.00108994726970582,0.000744518249578703,"Nrxn1/Reln/Neurod2",3
"GO:0097104","BP","GO:0097104","postsynaptic membrane assembly","3/269","10/28891",9.12635273677119e-05,0.00108994726970582,0.000744518249578703,"Nlgn1/Cdh2/Nrxn1",3
"GO:2000807","BP","GO:2000807","regulation of synaptic vesicle clustering","3/269","10/28891",9.12635273677119e-05,0.00108994726970582,0.000744518249578703,"Nlgn1/Cdh2/Pcdh17",3
"GO:0007215","BP","GO:0007215","glutamate receptor signaling pathway","5/269","49/28891",9.1983169679193e-05,0.00109463245340648,0.000747718592260156,"Grm5/Grm7/Plcb1/Gria2/Grin2b",5
"GO:2000311","BP","GO:2000311","regulation of AMPA receptor activity","4/269","26/28891",9.34958848564638e-05,0.00110539909459063,0.000755073040563357,"Nlgn1/Nrxn1/Reln/Mef2c",4
"GO:0030516","BP","GO:0030516","regulation of axon extension","7/269","113/28891",9.35490262467551e-05,0.00110539909459063,0.000755073040563357,"Nrp1/Mt3/Plxna4/Islr2/Sema3c/Shtn1/Tnr",7
"GO:0071526","BP","GO:0071526","semaphorin-plexin signaling pathway","5/269","50/28891",0.000101431896865322,0.00119432487013252,0.000815816220154738,"Nrp1/Plxna4/Mef2c/Plxna2/Sema3c",5
"GO:0003148","BP","GO:0003148","outflow tract septum morphogenesis","4/269","27/28891",0.000108955593738115,0.00127394232678411,0.000870201098313248,"Nrp1/Zfpm2/Robo2/Sema3c",4
"GO:0097107","BP","GO:0097107","postsynaptic density assembly","4/269","27/28891",0.000108955593738115,0.00127394232678411,0.000870201098313248,"Nrxn3/Nrxn1/Reln/Ptprd",4
"GO:0048872","BP","GO:0048872","homeostasis of number of cells","13/269","401/28891",0.00011044597211332,0.00128686874824718,0.000879030843520645,"Mecom/Cdh2/Nfix/Hba-a2/Hba-a1/Rac3/Plcb1/Sox4/Mef2c/Tuba1a/Cd24a/Zbtb18/Adar",13
"GO:0060421","BP","GO:0060421","positive regulation of heart growth","5/269","51/28891",0.000111608241410979,0.00129589569193859,0.000885196943939421,"Zfpm2/Rbpj/Mef2c/Nrg1/Ccnd2",5
"GO:0106027","BP","GO:0106027","neuron projection organization","7/269","118/28891",0.000122776618462871,0.00141818152836807,0.000968727624200049,"Nlgn1/Cntnap2/Reln/Cux2/Epha5/Ephb1/Grin2b",7
"GO:0006935","BP","GO:0006935","chemotaxis","14/269","462/28891",0.000122988230630006,0.00141818152836807,0.000968727624200049,"Nrg3/Slit3/Nrp1/Mdk/Tubb2b/Unc5c/Rac3/Plxna4/Robo2/Ephb1/Ripor2/Nrg1/Sema3c/Camk1d",14
"GO:0032956","BP","GO:0032956","regulation of actin cytoskeleton organization","12/269","351/28891",0.000123641652667318,0.00142081679216327,0.000970527713105736,"Epha3/Nrp1/Tmsb4x/Rac3/Epha5/Carmil1/Tmsb10/Add2/Mef2c/Gpm6b/Stmn1/Tenm1",12
"GO:0099545","BP","GO:0099545","trans-synaptic signaling by trans-synaptic complex","3/269","11/28891",0.000124623395644133,0.00142719395559582,0.000974883808751869,"Nlgn1/Ptprd/Tenm2",3
"GO:2000310","BP","GO:2000310","regulation of NMDA receptor activity","4/269","28/28891",0.000126188088925706,0.00144018078282444,0.000983754815767135,"Nlgn1/Nrxn1/Reln/Mef2c",4
"GO:0042330","BP","GO:0042330","taxis","14/269","464/28891",0.000128636653848931,0.00146313255262186,0.000999432648951598,"Nrg3/Slit3/Nrp1/Mdk/Tubb2b/Unc5c/Rac3/Plxna4/Robo2/Ephb1/Ripor2/Nrg1/Sema3c/Camk1d",14
"GO:0009100","BP","GO:0009100","glycoprotein metabolic process","12/269","354/28891",0.000133839362505548,0.001515868020052,0.0010354550502118,"Tcf7l2/Cst3/Hs3st4/Galntl6/Ndst4/Extl3/Mgat4c/Plcb1/Galnt17/Col11a1/Hs3st5/Chsy3",12
"GO:0008037","BP","GO:0008037","cell recognition","8/269","160/28891",0.00013417970512422,0.001515868020052,0.0010354550502118,"Dscaml1/Cntnap2/Epha3/Nrp1/Cntn5/Robo2/Ephb1/Ptprz1",8
"GO:0055021","BP","GO:0055021","regulation of cardiac muscle tissue growth","6/269","85/28891",0.000145639835414376,0.00163723619291699,0.00111835889531285,"Zfpm2/Rbpj/Foxp1/Mef2c/Nrg1/Ccnd2",6
"GO:0003179","BP","GO:0003179","heart valve morphogenesis","5/269","54/28891",0.00014688123740284,0.00163723619291699,0.00111835889531285,"Slit3/Zfpm2/Robo2/Sox4/Mef2c",5
"GO:0021795","BP","GO:0021795","cerebral cortex cell migration","5/269","54/28891",0.00014688123740284,0.00163723619291699,0.00111835889531285,"Reln/Fgf13/Dab1/Pou3f3/Col3a1",5
"GO:0071709","BP","GO:0071709","membrane assembly","5/269","54/28891",0.00014688123740284,0.00163723619291699,0.00111835889531285,"Nlgn1/Cdh2/Nrxn1/Ptprd/Psap",5
"GO:0045661","BP","GO:0045661","regulation of myoblast differentiation","6/269","86/28891",0.000155354880415343,0.00172593594720567,0.00117894768491448,"Zfhx3/Plcb1/Ripor2/Sox4/Mef2c/Cdon",6
"GO:0014816","BP","GO:0014816","skeletal muscle satellite cell differentiation","3/269","12/28891",0.000165021025605184,0.00182122214397273,0.00124403552393,"Nfix/Ephb1/Cdon",3
"GO:0106015","BP","GO:0106015","negative regulation of inflammatory response to wounding","3/269","12/28891",0.000165021025605184,0.00182122214397273,0.00124403552393,"Mdk/Extl3/Cd24a",3
"GO:0060415","BP","GO:0060415","muscle tissue morphogenesis","6/269","87/28891",0.000165575442277638,0.00182132986505402,0.00124410910575649,"Zfpm2/Rbpj/Ttn/Nrg1/Col11a1/Col3a1",6
"GO:1990138","BP","GO:1990138","neuron projection extension","9/269","211/28891",0.000172573225253362,0.00189208152540079,0.00129243795961965,"Slit3/Tmem108/Nrp1/Mt3/Plxna4/Islr2/Sema3c/Shtn1/Tnr",9
"GO:0046620","BP","GO:0046620","regulation of organ growth","7/269","125/28891",0.00017574172150592,0.00191426813262475,0.00130759312761134,"Tcf7l2/Zfpm2/Rbpj/Foxp1/Mef2c/Nrg1/Ccnd2",7
"GO:0060419","BP","GO:0060419","heart growth","7/269","125/28891",0.00017574172150592,0.00191426813262475,0.00130759312761134,"Zfpm2/Rbpj/Foxp1/Mef2c/Ttn/Nrg1/Ccnd2",7
"GO:0051588","BP","GO:0051588","regulation of neurotransmitter transport","7/269","126/28891",0.000184621441061091,0.00200446136009184,0.00136920207485498,"Nlgn1/Ntrk2/Drd2/Mef2c/Gpm6b/Mctp1/Cacnb4",7
"GO:0035019","BP","GO:0035019","somatic stem cell population maintenance","6/269","89/28891",0.000187608208035975,0.00203029724165793,0.00138684997934957,"Tcf7l2/Prdm16/Hmga2/Rbpj/Ldb2/Sox4",6
"GO:0021533","BP","GO:0021533","cell differentiation in hindbrain","4/269","31/28891",0.000189711622804207,0.00204643763437829,0.00139787511539942,"Nfix/Nrxn1/Rora/Psap",4
"GO:0019722","BP","GO:0019722","calcium-mediated signaling","9/269","214/28891",0.000191761411239788,0.00206189761796094,0.00140843547940545,"Ntrk2/Grm5/Itpr1/Rcan2/Nrg1/Slc8a1/Tenm2/Cd24a/Neurod2",9
"GO:0045926","BP","GO:0045926","negative regulation of growth","10/269","263/28891",0.000193769979650911,0.00207681670497643,0.00141862636923913,"Tcf7l2/Slit3/Nrp1/H19/Mt3/Foxp1/Gpc3/Fgf13/Sema3c/Tnr",10
"GO:0050954","BP","GO:0050954","sensory perception of mechanical stimulus","11/269","317/28891",0.000207459199609623,0.00221643311020632,0.00151399516782539,"Col1a1/Adgrv1/Kcnma1/Cntn5/Grm7/Ripor2/Kcnq3/Grin2b/Col11a1/Psap/Slc1a3",11
"GO:0007588","BP","GO:0007588","excretion","4/269","32/28891",0.000215234399732682,0.0022849010562098,0.00156076406823699,"Kcnma1/Mdk/Drd2/Psap",4
"GO:1990806","BP","GO:1990806","ligand-gated ion channel signaling pathway","4/269","32/28891",0.000215234399732682,0.0022849010562098,0.00156076406823699,"Itpr1/Plcb1/Gria2/Grin2b",4
"GO:0060420","BP","GO:0060420","regulation of heart growth","6/269","92/28891",0.00022492808255621,0.0023728660405654,0.00162085095316888,"Zfpm2/Rbpj/Foxp1/Mef2c/Nrg1/Ccnd2",6
"GO:0010038","BP","GO:0010038","response to metal ion","11/269","320/28891",0.000224939753247378,0.0023728660405654,0.00162085095316888,"Nlgn1/Adgrv1/Kcnma1/Mt3/Nrxn1/Dlg2/Kcnq3/Mef2c/Ttn/Tuba1a/Neurod2",11
"GO:0009314","BP","GO:0009314","response to radiation","13/269","433/28891",0.000233949171961044,0.00246014475169098,0.00168046906042855,"Ptprk/Cntnap2/Atxn1/Meis2/Neto1/Drd2/Tuba1a/Tafa2/Atp1a2/Ccnd2/Cacnb4/Slc1a3/Col3a1",13
"GO:0007269","BP","GO:0007269","neurotransmitter secretion","8/269","174/28891",0.00023825105361771,0.00248972351030507,0.00170067363931063,"Nlgn1/Ntrk2/Nrxn3/Dgki/Nrxn1/Mef2c/Mctp1/Cacnb4",8
"GO:0099643","BP","GO:0099643","signal release from synapse","8/269","174/28891",0.00023825105361771,0.00248972351030507,0.00170067363931063,"Nlgn1/Ntrk2/Nrxn3/Dgki/Nrxn1/Mef2c/Mctp1/Cacnb4",8
"GO:0045599","BP","GO:0045599","negative regulation of fat cell differentiation","5/269","60/28891",0.000242398859692902,0.00251471772602918,0.00171774662096554,"Tcf7l2/Zfpm2/Id4/Runx1t1/Rora",5
"GO:0021697","BP","GO:0021697","cerebellar cortex formation","4/269","33/28891",0.000243138854413969,0.00251471772602918,0.00171774662096554,"Nfix/Nrxn1/Rora/Psap",4
"GO:0048668","BP","GO:0048668","collateral sprouting","4/269","33/28891",0.000243138854413969,0.00251471772602918,0.00171774662096554,"Zeb2/Nfix/Fgf13/Nin",4
"GO:0030111","BP","GO:0030111","regulation of Wnt signaling pathway","11/269","323/28891",0.000243650880153545,0.00251471772602918,0.00171774662096554,"Col1a1/Tcf7l2/Zeb2/Cdh2/Hmga2/Mdk/Nlk/Rbpj/Gpc3/Sox4/Rnf220",11
"GO:0008361","BP","GO:0008361","regulation of cell size","9/269","222/28891",0.000251786539746143,0.00259068981203416,0.00176964142914698,"Nrp1/Kcnma1/Mt3/Plxna4/Islr2/Fgf13/Sema3c/Shtn1/Tnr",9
"GO:0044091","BP","GO:0044091","membrane biogenesis","5/269","61/28891",0.000262052738968833,0.00267982984437852,0.00183053096269875,"Nlgn1/Cdh2/Nrxn1/Ptprd/Psap",5
"GO:0099171","BP","GO:0099171","presynaptic modulation of chemical synaptic transmission","5/269","61/28891",0.000262052738968833,0.00267982984437852,0.00183053096269875,"Nrxn3/Dgki/Grik2/Grm7/Drd2",5
"GO:0048644","BP","GO:0048644","muscle organ morphogenesis","6/269","95/28891",0.000267859946309237,0.00271460012596442,0.00185428175312982,"Zfpm2/Rbpj/Ttn/Nrg1/Col11a1/Col3a1",6
"GO:0045161","BP","GO:0045161","neuronal ion channel clustering","3/269","14/28891",0.000269292292279414,0.00271460012596442,0.00185428175312982,"Cntnap2/Dlg2/Cntn2",3
