"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048639","BP","GO:0048639","positive regulation of developmental growth","11/269","221/28891",7.93550335598015e-06,0.000167013013195224,0.000114082799872084,"Nrp1/Hmga2/Zfpm2/Rbpj/Plcb1/Islr2/Drd2/Mef2c/Nrg1/Shtn1/Ccnd2",11
"GO:0060045","BP","GO:0060045","positive regulation of cardiac muscle cell proliferation","5/269","30/28891",7.94110918003609e-06,0.000167013013195224,0.000114082799872084,"Zfpm2/Rbpj/Mef2c/Nrg1/Ccnd2",5
"GO:0050795","BP","GO:0050795","regulation of behavior","8/269","108/28891",8.02298473153135e-06,0.000167680380889005,0.000114538663601467,"Nlgn1/Zfhx3/Mdk/Nrxn1/Reln/Ptgds/Drd2/Mef2c",8
"GO:0032535","BP","GO:0032535","regulation of cellular component size","15/269","411/28891",8.3153224135091e-06,0.000172710795967543,0.000117974826004019,"Nrp1/Kcnma1/Tmsb4x/Mt3/Plxna4/Islr2/Fgf13/Carmil1/Tmsb10/Add2/Sema3c/Shtn1/Nefm/Tenm1/Tnr",15
"GO:0051216","BP","GO:0051216","cartilage development","11/269","223/28891",8.64018543556775e-06,0.000178350494423077,0.000121827176057063,"Col1a1/Sox5/Nfia/Hmga2/Mdk/Satb2/Rarb/Mef2c/Nfib/Col11a1/Col3a1",11
"GO:0060043","BP","GO:0060043","regulation of cardiac muscle cell proliferation","6/269","52/28891",8.75969558176727e-06,0.000179708110585459,0.000122754532853955,"Zfpm2/Rbpj/Foxp1/Mef2c/Nrg1/Ccnd2",6
"GO:0051961","BP","GO:0051961","negative regulation of nervous system development","10/269","183/28891",9.1265902975405e-06,0.000186093402164484,0.000127116180652522,"Sox11/Nrp1/Hmga2/Mt3/Id4/Fgf13/Sema3c/Dab1/Cd24a/Tnr",10
"GO:0099550","BP","GO:0099550","trans-synaptic signaling, modulating synaptic transmission","4/269","15/28891",9.25364759062926e-06,0.000187540591170086,0.000128104722626255,"Ntrk2/Grm5/Nrxn1/Gucy1b1",4
"GO:0015012","BP","GO:0015012","heparan sulfate proteoglycan biosynthetic process","5/269","31/28891",9.39648396558061e-06,0.000189288207113865,0.00012929847942492,"Tcf7l2/Hs3st4/Ndst4/Extl3/Hs3st5",5
"GO:0060485","BP","GO:0060485","mesenchyme development","13/269","316/28891",9.50544909189461e-06,0.000190336657265243,0.000130014651934518,"Col1a1/Tcf7l2/Zeb2/Cdh2/Epha3/Nrp1/Hmga2/Mdk/Rbpj/Robo2/Sox4/Mef2c/Sema3c",13
"GO:0045444","BP","GO:0045444","fat cell differentiation","12/269","270/28891",9.71705520219763e-06,0.000191128935592102,0.000130555839283198,"Tcf7l2/Mecom/Cntnap2/Prdm16/Hmga2/Zfpm2/Id4/Plcb1/Runx1t1/Creb5/Rora/Cntn2",12
"GO:0034331","BP","GO:0034331","cell junction maintenance","6/269","53/28891",9.80135890053216e-06,0.000191128935592102,0.000130555839283198,"Nlgn1/Adgrb3/Cntnap2/Nrxn1/Plxna4/Dlg2",6
"GO:0060412","BP","GO:0060412","ventricular septum morphogenesis","6/269","53/28891",9.80135890053216e-06,0.000191128935592102,0.000130555839283198,"Sox11/Slit3/Zfpm2/Rbpj/Robo2/Sox4",6
"GO:0090659","BP","GO:0090659","walking behavior","6/269","53/28891",9.80135890053216e-06,0.000191128935592102,0.000130555839283198,"Cntnap2/Kcnma1/Drd2/Dab1/Psap/Cacnb4",6
"GO:0048511","BP","GO:0048511","rhythmic process","13/269","317/28891",9.83079453404354e-06,0.000191128935592102,0.000130555839283198,"Nlgn1/Ntrk2/Cntnap2/Kcnd2/Kcnma1/Zfhx3/Mdk/Ptgds/Id4/Drd2/Schip1/Grin2b/Rora",13
"GO:1904062","BP","GO:1904062","regulation of monoatomic cation transmembrane transport","14/269","367/28891",1.0164656964454e-05,0.000196308594343356,0.000134093946652318,"Kcnip4/Dpp10/Dbi/Plcb1/Fgf13/Neto1/Drd2/Slc8a1/Fgf14/Hecw1/Gnb2/Ahnak/Atp1a2/Cacnb4",14
"GO:0060538","BP","GO:0060538","skeletal muscle organ development","11/269","227/28891",1.02146218348517e-05,0.000196308594343356,0.000134093946652318,"Tcf7l2/Cntnap2/Rbfox1/Sox11/Nfix/Meg3/Foxp1/Ephb1/Mef2c/Cdon/Zbtb18",11
"GO:0051592","BP","GO:0051592","response to calcium ion","9/269","147/28891",1.03436371518133e-05,0.000197652129346649,0.000135011684928931,"Nlgn1/Adgrv1/Kcnma1/Nrxn1/Kcnq3/Mef2c/Ttn/Tuba1a/Neurod2",9
"GO:0031589","BP","GO:0031589","cell-substrate adhesion","14/269","368/28891",1.04799486031116e-05,0.00019911902345912,0.000136013687014068,"Col1a1/Ptprk/Epha3/Nrp1/Mdk/Spock1/Rac3/Ephb1/Carmil1/Gpm6b/Ptprz1/Cntn2/Col3a1/Vtn",14
"GO:0051402","BP","GO:0051402","neuron apoptotic process","14/269","369/28891",1.0803864155058e-05,0.000203702574719514,0.000139144606881562,"Ntrk2/Nfix/Nrp1/Kcnma1/Mdk/Mt3/Grik2/Grm7/Kcnq3/Mef2c/Tuba1a/Ptprz1/Trim2/Vstm2l",14
"GO:0007632","BP","GO:0007632","visual behavior","7/269","81/28891",1.0843019826577e-05,0.000203702574719514,0.000139144606881562,"Atxn1/Meis2/Neto1/Drd2/Tuba1a/Tafa2/Atp1a2",7
"GO:0006836","BP","GO:0006836","neurotransmitter transport","11/269","230/28891",1.15538504599737e-05,0.000214644866323067,0.000146619038000836,"Nlgn1/Ntrk2/Nrxn3/Dgki/Nrxn1/Drd2/Mef2c/Gpm6b/Atp1a2/Mctp1/Cacnb4",11
"GO:0051056","BP","GO:0051056","regulation of small GTPase mediated signal transduction","11/269","230/28891",1.15538504599737e-05,0.000214644866323067,0.000146619038000836,"Cdh2/Nrp1/Dgki/Reln/Ripor2/Cadm4/Nrg1/Sipa1l2/Cdon/Stmn1/Col3a1",11
"GO:0003208","BP","GO:0003208","cardiac ventricle morphogenesis","7/269","82/28891",1.17616637433496e-05,0.000217298362197576,0.000148431580826221,"Zfpm2/Rbpj/Sox4/Mef2c/Nrg1/Sema3c/Col11a1",7
"GO:0010721","BP","GO:0010721","negative regulation of cell development","13/269","323/28891",1.1997015243058e-05,0.000220428675674648,0.000150569826937165,"Sox11/Prdm16/Nrp1/Hmga2/Mdk/Mt3/Id4/Fgf13/Sema3c/Dab1/Cd24a/Inpp4b/Tnr",13
"GO:0007638","BP","GO:0007638","mechanosensory behavior","4/269","16/28891",1.22479282859825e-05,0.000222592783632204,0.000152048079980447,"Cntnap2/Nrxn1/Drd2/Slc1a3",4
"GO:1902287","BP","GO:1902287","semaphorin-plexin signaling pathway involved in axon guidance","4/269","16/28891",1.22479282859825e-05,0.000222592783632204,0.000152048079980447,"Nrp1/Plxna4/Mef2c/Plxna2",4
"GO:0050678","BP","GO:0050678","regulation of epithelial cell proliferation","15/269","426/28891",1.26946732714371e-05,0.000229464796863166,0.00015674219629598,"Tcf7l2/Ptprk/Bcl11b/Sparc/Sox11/Hmga2/Mdk/Rbpj/Foxp1/Itpr1/Gpc3/Drd2/Mef2c/Nfib/Ccnd2",15
"GO:0008045","BP","GO:0008045","motor neuron axon guidance","5/269","33/28891",1.29271032933558e-05,0.000232409857059042,0.000158753900093843,"Lmo4/Nrp1/Foxp1/Rac3/Plxna4",5
